date,weekday,weightKG.Dad,weightLB.Jun,
2018/6/23,星期六,82.9,172,
2018/6/24,星期日,82,170,
2018/6/25,星期一,82.5,172,
2018/6/26,星期二,82.5,169.4,
2018/6/27,星期三,81.7,167.4,
2018/6/28,星期四,81.8,168.0,
2018/6/29,星期五,81.5,166.6,
2018/6/30,星期六,82.1,169.2,
2018/7/1,星期日,,169.6,
2018/7/2,星期一,82.2,168.6,
2018/7/3,星期二,82.4,168.2,
2018/7/4,星期三,81.5,170,
2018/7/5,星期四,81.5,166.8,
2018/7/6,星期五,80.9,165.8,
2018/7/7,星期六,81,168,
2018/7/8,星期日,80.5,167,
2018/7/9,星期一,81.1,168,
2018/7/10,星期二,80.8,167,
2018/7/11,星期三,80.9,166,
2018/7/12,星期四,80.5,165,
2018/7/13,星期五,80.5,165,
2018/7/14,星期六,81.1,168.4,
2018/7/15,星期日,80.9,165.2,
2018/7/16,星期一,80.1,163,
2018/7/17,星期二,80.1,164,
2018/7/18,星期三,80.7,165.6,
2018/7/19,星期四,79.9,164.4,
2018/7/20,星期五,79.2,166.6,
2018/7/21,星期六,79.5,164.6,
2018/7/22,星期日,78.7,163.6,
2018/7/23,星期一,79.6,162.2,
2018/7/24,星期二,79.2,163.0,
2018/7/25,星期三,78.7,161.0,
2018/7/26,星期四,79.4,161.2,
2018/7/27,星期五,78.8,163,
2018/7/28,星期六,79.3,162.6,
2018/7/29,星期日,79,163.8,
2018/7/30,星期一,79.3,162.6,
2018/7/31,星期二,79.3,163.8,
2018/8/1,星期三,79.0,162.2,
2018/8/2,星期四,78.6,163.0,
2018/8/3,星期五,78.6,162.2,
2018/8/4,星期六,78.2,164,
2018/8/5,星期日,78.5,163.2,
2018/8/6,星期一,78.1,163.2,
2018/8/7,星期二,78.5,162.2,
2018/8/8,星期三,78.8,161.6,
2018/8/9,星期四,78.4,164,
2018/8/10,星期五,78.7,163,
2018/8/11,星期六,78.2,166.4,
2018/8/12,星期日,77.9,164.8,
2018/8/13,星期一,77.5,161.2,
2018/8/14,星期二,78.2,160.8,
2018/8/15,星期三,78.2,159.8,
2018/8/16,星期四,77.8,161.8,
2018/8/17,星期五,78.4,163.4,
2018/8/18,星期六,78.5,163,
2018/8/19,星期日,78.2,163.8,
2018/8/20,星期一,78.4,163.0,
2018/8/21,星期二,78.6,162,
2018/8/22,星期三,78.3,162.4,
2018/8/23,星期四,78.7,162.8,
2018/8/24,星期五,78.3,162,
2018/8/25,星期六,78.9,163,
2018/8/26,星期日,78,164.2,
2018/8/27,星期一,77.5,162.4,
2018/8/28,星期二,78.7,162.8,
2018/8/29,星期三,78.2,164.4,
2018/8/30,星期四,78.1,162.8,
2018/8/31,星期五,78.2,165.2,
2018/9/1,星期六,77.3,166.6,
2018/9/2,星期日,77.9,163.6,
2018/9/3,星期一,78,162.8,
2018/9/4,星期二,77.5,162.0,
2018/9/5,星期三,77.7,163.0,
2018/9/6,星期四,77.0,164.0,
2018/9/7,星期五,77.6,164.0,
2018/9/8,星期六,77.7,162.0,
2018/9/9,星期日,77.7,162.0,
2018/9/10,星期一,77.5,NA,
2018/9/11,星期二,78.0,160.4,
2018/9/12,星期三,78.4,NA,
2018/9/13,星期四,77.9,163.4,
2018/9/14,星期五,78.2,,
2018/9/15,星期六,,,
2018/9/16,星期日,,,
2018/9/17,星期一,,,
2018/9/18,星期二,,,
2018/9/19,星期三,,,
2018/9/20,星期四,,,
2018/9/21,星期五,,,
